Designator,Mid X,Mid Y,Layer,Rotation
C1,110.900000mm,-121.200000mm,Top,180.000000
C2,116.300000mm,-126.400000mm,Top,0.000000
C3,185.500000mm,-118.800000mm,Top,0.000000
C4,166.900000mm,-107.600000mm,Top,180.000000
C5,166.900000mm,-104.600000mm,Top,180.000000
C6,166.900000mm,-103.400000mm,Top,180.000000
C7,174.800000mm,-111.100000mm,Top,180.000000
C8,156.300000mm,-113.400000mm,Top,180.000000
C9,158.500000mm,-113.400000mm,Top,0.000000
C10,142.800000mm,-114.500000mm,Top,90.000000
C11,145.200000mm,-114.500000mm,Top,90.000000
C12,153.000000mm,-115.600000mm,Top,90.000000
C13,145.400000mm,-127.000000mm,Top,-90.000000
C14,160.000000mm,-120.400000mm,Top,0.000000
C15,160.000000mm,-122.800000mm,Top,0.000000
C16,160.000000mm,-125.200000mm,Top,0.000000
C17,160.000000mm,-127.600000mm,Top,0.000000
C18,156.100000mm,-122.200000mm,Top,180.000000
C19,153.300000mm,-128.500000mm,Top,-90.000000
C20,160.600000mm,-130.700000mm,Top,-90.000000
C21,160.900000mm,-114.600000mm,Top,0.000000
C22,154.200000mm,-119.800000mm,Top,0.000000
C23,164.000000mm,-116.000000mm,Top,0.000000
C24,164.000000mm,-117.200000mm,Top,0.000000
C25,166.200000mm,-118.400000mm,Top,0.000000
C26,183.000000mm,-123.200000mm,Top,-90.000000
C27,185.000000mm,-123.200000mm,Top,-90.000000
C28,137.800000mm,-105.400000mm,Top,0.000000
C29,135.200000mm,-110.100000mm,Top,0.000000
C30,135.400000mm,-118.500000mm,Top,0.000000
C31,129.600000mm,-121.800000mm,Top,-90.000000
C32,135.400000mm,-119.550000mm,Top,0.000000
C33,124.300000mm,-114.000000mm,Top,180.000000
C34,127.000000mm,-109.300000mm,Top,180.000000
C35,124.800000mm,-120.100000mm,Top,180.000000
C36,127.000000mm,-110.400000mm,Top,180.000000
C37,130.700000mm,-123.600000mm,Top,-90.000000
C38,124.800000mm,-118.900000mm,Top,180.000000
C39,127.300000mm,-120.900000mm,Top,180.000000
C40,121.200000mm,-107.400000mm,Top,0.000000
C41,124.800000mm,-121.300000mm,Top,180.000000
C42,132.200000mm,-124.900000mm,Top,180.000000
C43,114.400000mm,-104.200000mm,Top,-90.000000
C44,120.400000mm,-105.600000mm,Top,0.000000
D1,181.500000mm,-102.300000mm,Top,0.000000
D2,186.000000mm,-126.800000mm,Top,0.000000
D3,141.000000mm,-102.000000mm,Top,0.000000
D4,176.800000mm,-106.800000mm,Top,0.000000
J1,102.800000mm,-117.000000mm,Top,-90.000000
J2,186.650000mm,-112.000000mm,Top,90.000000
J3,173.000000mm,-130.000000mm,Top,0.000000
L1,156.500000mm,-109.200000mm,Top,0.000000
Q1,150.000000mm,-115.200000mm,Top,180.000000
Q2,149.500000mm,-108.800000mm,Top,-90.000000
Q3,171.500000mm,-124.200000mm,Top,90.000000
R1,116.400000mm,-112.400000mm,Top,0.000000
R2,116.400000mm,-111.300000mm,Top,0.000000
R4,114.800000mm,-116.050000mm,Top,0.000000
R5,114.800000mm,-117.950000mm,Top,0.000000
R6,116.300000mm,-124.200000mm,Top,0.000000
R7,110.400000mm,-123.400000mm,Top,180.000000
R8,143.800000mm,-104.500000mm,Top,-90.000000
R9,147.800000mm,-104.500000mm,Top,-90.000000
R10,110.400000mm,-124.500000mm,Top,0.000000
R11,110.400000mm,-125.600000mm,Top,180.000000
R12,116.300000mm,-125.300000mm,Top,0.000000
R13,172.200000mm,-102.200000mm,Top,0.000000
R14,172.900000mm,-108.600000mm,Top,0.000000
R15,144.800000mm,-104.500000mm,Top,-90.000000
R16,145.800000mm,-104.500000mm,Top,-90.000000
R17,180.500000mm,-117.800000mm,Top,0.000000
R18,180.500000mm,-118.900000mm,Top,0.000000
R19,180.500000mm,-120.000000mm,Top,0.000000
R21,174.800000mm,-112.600000mm,Top,180.000000
R22,146.800000mm,-104.500000mm,Top,-90.000000
R23,173.000000mm,-114.200000mm,Top,90.000000
R24,147.400000mm,-114.200000mm,Top,90.000000
R25,146.900000mm,-111.000000mm,Top,90.000000
R26,158.400000mm,-131.500000mm,Top,-90.000000
R27,155.870000mm,-120.100000mm,Top,-90.000000
R28,162.100000mm,-117.200000mm,Top,0.000000
R29,162.100000mm,-116.000000mm,Top,0.000000
R30,162.100000mm,-118.400000mm,Top,0.000000
R31,164.000000mm,-118.400000mm,Top,0.000000
R32,151.000000mm,-103.500000mm,Top,90.000000
R33,141.800000mm,-104.500000mm,Top,-90.000000
R34,167.200000mm,-123.800000mm,Top,90.000000
R35,168.300000mm,-123.800000mm,Top,90.000000
R36,148.800000mm,-104.500000mm,Top,-90.000000
R37,149.800000mm,-104.500000mm,Top,90.000000
R38,132.400000mm,-109.300000mm,Top,0.000000
R40,131.600000mm,-128.600000mm,Top,0.000000
R41,138.000000mm,-102.000000mm,Top,0.000000
R42,139.800000mm,-104.500000mm,Top,-90.000000
R43,140.800000mm,-104.500000mm,Top,-90.000000
SW1,126.000000mm,-129.400000mm,Top,0.000000
U1,157.000000mm,-117.000000mm,Top,0.000000
U2,178.000000mm,-112.000000mm,Top,180.000000
U3,113.000000mm,-124.500000mm,Top,0.000000
U4,170.500000mm,-106.000000mm,Top,0.000000
U5,111.400000mm,-117.000000mm,Top,180.000000
U6,130.000000mm,-115.000000mm,Top,180.000000
U7,136.200000mm,-126.200000mm,Top,90.000000
U8,117.000000mm,-104.200000mm,Top,-90.000000
Y1,135.500000mm,-107.800000mm,Top,180.000000
