Comment,Designator,Footprint,LCSC Part #
4.7uF,"C1,C21",C_0603_1608Metric,C19666
2.2nF 50V,"C2,C7",C_0402_1005Metric,C1531
4.7uF 50V,C3,C_1206_3216Metric,C29823
1uF 50V,"C4,C12,C18",C_0603_1608Metric,C15849
1uF,"C5,C6,C38,C39,C43",C_0402_1005Metric,C52923
100nF,"C8,C9,C20,C30,C31,C32,C33,C34,C35,C36,C37,C40,C41,C42",C_0402_1005Metric,C1525
10uF 50V,"C10,C11",C_1206_3216Metric,C13585
47uF 35V,C13,CP_Elec_6.3x5.4,C2836440
22uF 25V,"C14,C15,C16,C17",C_1206_3216Metric,C12891
100uF 25V hybrid,C19,CP_Elec_6.3x5.8,C454668
10nF,C22,C_0402_1005Metric,C15195
4.7nF,C23,C_0402_1005Metric,C1538
100pF,C24,C_0402_1005Metric,C1546
1nF,C25,C_0402_1005Metric,C1523
10uF 25V,C26,C_0805_2012Metric,C15850
100nF 50V,C27,C_0402_1005Metric,C307331
15pF,"C28,C29",C_0402_1005Metric,C1548
10uF,C44,C_0603_1608Metric,C19702
SMAJ22A,D1,D_SMA,C908773
SMAJ15A,D2,D_SMA,C908769
LED,D3,LED_0603_1608Metric,C2286
PESD24VS2UT,D4,SOT-23,C477999
USB-C PLUG,J1,USB-C-SMD_TYPE-C-31-G-10,C5370430
PD IN,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
FAN 4P,J3,FanPinHeader_1x04_P2.54mm_Vertical,C240840
4.7uH IHLP2525CZ,L1,L_Vishay_IHLP-2525,C553961
CSD18543Q3A,"Q1,Q2",VSONP-8_L3.1-W3.1-P0.65-LS3.5-BL,C840100
2N7002,Q3,SOT-23,C8545
5.1k,R1,R_0402_1005Metric,C25905
1k,"R2,R38,R40,R41",R_0402_1005Metric,C11702
22R,"R4,R5",R_0402_1005Metric,C25092
1.5k,R6,R_0402_1005Metric,C25867
100k,"R7,R14,R32,R35",R_0402_1005Metric,C25741
10k,"R8,R12,R15,R16,R22,R23,R31,R33,R36,R37",R_0402_1005Metric,C25744
47k,R9,R_0402_1005Metric,C25792
33k,R10,R_0402_1005Metric,C25779
68k,R11,R_0402_1005Metric,C36871
1k,R13,R_0805_2012Metric,C17513
1M,R17,R_0402_1005Metric,C26083
300k,R18,R_0402_1005Metric,C25774
75k,R19,R_0402_1005Metric,C25798
1.2k,R21,R_0402_1005Metric,C25862
1R,"R24,R25",R_0402_1005Metric,C25086
10mR 1W,R26,R_1206_3216Metric,C105362
49.9k,R27,R_0402_1005Metric,C25897
56k,"R28,R29",R_0402_1005Metric,C25796
150k,R30,R_0402_1005Metric,C25755
100R,R34,R_0402_1005Metric,C25076
4.7k,"R42,R43",R_0402_1005Metric,C25900
BOOTSEL,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
TPS55288RPMR,U1,VQFN-HR-26_L4.0-W3.5_TPS55288RPMR,C2864583
TPS259470ARPWR,"U2,U3",VQFN-10_L2.0-W2.0-P0.45-TL,C3662799
STUSB4500QTR,U4,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,C2678061
USBLC6-2SC6,U5,SOT-23-6,C7519
RP2040,U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
W25Q16JVSSIQ,U7,SOIC-8_5.3x5.3mm_P1.27mm,C131025
AP2112K-3.3,U8,SOT-23-5,C51118
12MHz ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
