Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",110.900000,-121.200000,180.000000,top
"C2","2.2nF 50V","C_0402_1005Metric",116.300000,-126.400000,0.000000,top
"C3","4.7uF 50V","C_1206_3216Metric",185.500000,-118.800000,0.000000,top
"C4","1uF 50V","C_0603_1608Metric",166.900000,-107.600000,180.000000,top
"C5","1uF","C_0402_1005Metric",166.900000,-104.600000,180.000000,top
"C6","1uF","C_0402_1005Metric",166.900000,-103.400000,180.000000,top
"C7","2.2nF 50V","C_0402_1005Metric",174.800000,-111.100000,180.000000,top
"C8","100nF","C_0402_1005Metric",156.300000,-113.400000,180.000000,top
"C9","100nF","C_0402_1005Metric",158.500000,-113.400000,0.000000,top
"C10","10uF 50V","C_1206_3216Metric",142.800000,-114.500000,90.000000,top
"C11","10uF 50V","C_1206_3216Metric",145.200000,-114.500000,90.000000,top
"C12","1uF 50V","C_0603_1608Metric",153.000000,-115.600000,90.000000,top
"C13","47uF 35V","CP_Elec_6.3x5.4",145.400000,-127.000000,-90.000000,top
"C14","22uF 25V","C_1206_3216Metric",160.000000,-120.400000,0.000000,top
"C15","22uF 25V","C_1206_3216Metric",160.000000,-122.800000,0.000000,top
"C16","22uF 25V","C_1206_3216Metric",160.000000,-125.200000,0.000000,top
"C17","22uF 25V","C_1206_3216Metric",160.000000,-127.600000,0.000000,top
"C18","1uF 50V","C_0603_1608Metric",156.100000,-122.200000,180.000000,top
"C19","100uF 25V hybrid","CP_Elec_6.3x5.8",153.300000,-128.500000,-90.000000,top
"C20","100nF","C_0402_1005Metric",160.600000,-130.700000,-90.000000,top
"C21","4.7uF","C_0603_1608Metric",160.900000,-114.600000,0.000000,top
"C22","10nF","C_0402_1005Metric",154.200000,-119.800000,0.000000,top
"C23","4.7nF","C_0402_1005Metric",164.000000,-116.000000,0.000000,top
"C24","100pF","C_0402_1005Metric",164.000000,-117.200000,0.000000,top
"C25","1nF","C_0402_1005Metric",166.200000,-118.400000,0.000000,top
"C26","10uF 25V","C_0805_2012Metric",183.000000,-123.200000,-90.000000,top
"C27","100nF 50V","C_0402_1005Metric",185.000000,-123.200000,-90.000000,top
"C28","15pF","C_0402_1005Metric",137.800000,-105.400000,0.000000,top
"C29","15pF","C_0402_1005Metric",135.200000,-110.100000,0.000000,top
"C30","100nF","C_0402_1005Metric",135.400000,-118.500000,0.000000,top
"C31","100nF","C_0402_1005Metric",129.600000,-121.800000,-90.000000,top
"C32","100nF","C_0402_1005Metric",135.400000,-119.550000,0.000000,top
"C33","100nF","C_0402_1005Metric",124.300000,-114.000000,180.000000,top
"C34","100nF","C_0402_1005Metric",127.000000,-109.300000,180.000000,top
"C35","100nF","C_0402_1005Metric",124.800000,-120.100000,180.000000,top
"C36","100nF","C_0402_1005Metric",127.000000,-110.400000,180.000000,top
"C37","100nF","C_0402_1005Metric",130.700000,-123.600000,-90.000000,top
"C38","1uF","C_0402_1005Metric",124.800000,-118.900000,180.000000,top
"C39","1uF","C_0402_1005Metric",127.300000,-120.900000,180.000000,top
"C40","100nF","C_0402_1005Metric",121.200000,-107.400000,0.000000,top
"C41","100nF","C_0402_1005Metric",124.800000,-121.300000,180.000000,top
"C42","100nF","C_0402_1005Metric",132.200000,-124.900000,180.000000,top
"C43","1uF","C_0402_1005Metric",114.400000,-104.200000,-90.000000,top
"C44","10uF","C_0603_1608Metric",120.400000,-105.600000,0.000000,top
"D1","SMAJ22A","D_SMA",181.500000,-102.300000,0.000000,top
"D2","SMAJ15A","D_SMA",186.000000,-126.800000,0.000000,top
"D3","LED","LED_0603_1608Metric",141.000000,-102.000000,0.000000,top
"D4","PESD24VS2UT","SOT-23",176.800000,-106.800000,0.000000,top
"J1","USB-C PLUG","USB-C-SMD_TYPE-C-31-G-10",103.470000,-117.000000,-90.000000,top
"J2","PD IN","USB_C_Receptacle_HRO_TYPE-C-31-M-12",186.650000,-112.000000,90.000000,top
"J3","FAN 4P","FanPinHeader_1x04_P2.54mm_Vertical",173.000000,-130.000000,0.000000,top
"L1","4.7uH IHLP2525CZ","L_Vishay_IHLP-2525",156.500000,-109.200000,0.000000,top
"Q1","CSD18543Q3A","VSONP-8_L3.1-W3.1-P0.65-LS3.5-BL",150.000000,-115.200000,180.000000,top
"Q2","CSD18543Q3A","VSONP-8_L3.1-W3.1-P0.65-LS3.5-BL",149.500000,-108.800000,-90.000000,top
"Q3","2N7002","SOT-23",171.500000,-124.200000,90.000000,top
"R1","5.1k","R_0402_1005Metric",107.600000,-122.600000,-90.000000,top
"R2","1k","R_0402_1005Metric",108.800000,-123.200000,-90.000000,top
"R4","22R","R_0402_1005Metric",114.800000,-117.250000,0.000000,top
"R5","22R","R_0402_1005Metric",114.800000,-115.350000,0.000000,top
"R6","1.5k","R_0402_1005Metric",116.300000,-124.200000,0.000000,top
"R7","100k","R_0402_1005Metric",110.400000,-123.400000,180.000000,top
"R8","10k","R_0402_1005Metric",143.800000,-104.500000,-90.000000,top
"R9","47k","R_0402_1005Metric",147.800000,-104.500000,-90.000000,top
"R10","33k","R_0402_1005Metric",110.400000,-124.500000,0.000000,top
"R11","68k","R_0402_1005Metric",110.400000,-125.600000,180.000000,top
"R12","10k","R_0402_1005Metric",116.300000,-125.300000,0.000000,top
"R13","1k","R_0805_2012Metric",172.200000,-102.200000,0.000000,top
"R14","100k","R_0402_1005Metric",172.900000,-108.600000,0.000000,top
"R15","10k","R_0402_1005Metric",144.800000,-104.500000,-90.000000,top
"R16","10k","R_0402_1005Metric",145.800000,-104.500000,-90.000000,top
"R17","1M","R_0402_1005Metric",180.500000,-117.800000,0.000000,top
"R18","300k","R_0402_1005Metric",180.500000,-118.900000,0.000000,top
"R19","75k","R_0402_1005Metric",180.500000,-120.000000,0.000000,top
"R21","1.2k","R_0402_1005Metric",174.800000,-112.600000,180.000000,top
"R22","10k","R_0402_1005Metric",146.800000,-104.500000,-90.000000,top
"R23","10k","R_0402_1005Metric",173.000000,-114.200000,90.000000,top
"R24","1R","R_0402_1005Metric",147.400000,-114.200000,90.000000,top
"R25","1R","R_0402_1005Metric",146.900000,-111.000000,90.000000,top
"R26","10mR 1W","R_1206_3216Metric",158.400000,-131.500000,-90.000000,top
"R27","49.9k","R_0402_1005Metric",155.870000,-120.100000,-90.000000,top
"R28","56k","R_0402_1005Metric",162.100000,-117.200000,0.000000,top
"R29","56k","R_0402_1005Metric",162.100000,-116.000000,0.000000,top
"R30","150k","R_0402_1005Metric",162.100000,-118.400000,0.000000,top
"R31","10k","R_0402_1005Metric",164.000000,-118.400000,0.000000,top
"R32","100k","R_0402_1005Metric",151.000000,-103.500000,90.000000,top
"R33","10k","R_0402_1005Metric",141.800000,-104.500000,-90.000000,top
"R34","100R","R_0402_1005Metric",167.200000,-123.800000,90.000000,top
"R35","100k","R_0402_1005Metric",168.300000,-123.800000,90.000000,top
"R36","10k","R_0402_1005Metric",148.800000,-104.500000,-90.000000,top
"R37","10k","R_0402_1005Metric",149.800000,-104.500000,90.000000,top
"R38","1k","R_0402_1005Metric",132.400000,-109.300000,0.000000,top
"R40","1k","R_0402_1005Metric",131.600000,-128.600000,0.000000,top
"R41","1k","R_0402_1005Metric",138.000000,-102.000000,0.000000,top
"R42","4.7k","R_0402_1005Metric",139.800000,-104.500000,-90.000000,top
"R43","4.7k","R_0402_1005Metric",140.800000,-104.500000,-90.000000,top
"SW1","BOOTSEL","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",126.000000,-129.400000,0.000000,top
"U1","TPS55288RPMR","VQFN-HR-26_L4.0-W3.5_TPS55288RPMR",157.000000,-117.000000,0.000000,top
"U2","TPS259470ARPWR","VQFN-10_L2.0-W2.0-P0.45-TL",178.000000,-112.000000,180.000000,top
"U3","TPS259470ARPWR","VQFN-10_L2.0-W2.0-P0.45-TL",113.000000,-124.500000,0.000000,top
"U4","STUSB4500QTR","QFN-24_L4.0-W4.0-P0.50-BL-EP2.8",170.500000,-106.000000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",111.400000,-116.300000,0.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",130.000000,-115.000000,180.000000,top
"U7","W25Q16JVSSIQ","SOIC-8_5.3x5.3mm_P1.27mm",136.200000,-126.200000,90.000000,top
"U8","AP2112K-3.3","SOT-23-5",117.000000,-104.200000,-90.000000,top
"Y1","12MHz ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",135.500000,-107.800000,180.000000,top
